번호,신고일자,법인또는상호,운영상태,"소재지주소(도로명주소, 없으면 지번주소)",호스트서버 업체명,호스트서버 도메인명,호스트서버 도메인유형,취급품목,취급품목세부사항,판매방식
1447,20150206,아이린스타일 (IRINSTYLE),정상영업,경기도 양주시 백석읍 중앙로223번길 230-14,카페24,www.irinstyle.com,개인,의류/패션/잡화/뷰티,-,인터넷
1448,20150205,computopia,정상영업,경기도 양주시 고읍남로191번길 86-3， 101호 (광사동),-,computopia.co.kr,개인,가전 컴퓨터/사무용품,-,인터넷 기타
1449,20150204,첫번째 소풍,정상영업,경기도 양주시 화합로1325번길 22-33， 201동 1006호 (덕정동， 서희스타힐스아파트),네이버 등,오픈마켓,오픈,의류/패션/잡화/뷰티,-,인터넷
1450,20150204,미일식품,정상영업,경기도 양주시 천보산로100번길 66-11， 1호 (회암동),오픈마켓,오픈마켓,오픈,건강/식품,-,인터넷
1451,20150204,(주) 라이브존,정상영업,경기도 양주시 백석읍 권율로1253번길 7-40 ((주)라이브존),-,www.livezone.co.kr,개인,컴퓨터/사무용품 기타,cctv및주변기기,인터넷
1452,20150204,담아드림,폐업처리,경기도 양주시 삼숭로58번길 115， 608동 904호 (삼숭동， 양주자이아파트),네이버 다음 등,오픈마켓,모두사용,기타,스냅사진,인터넷
1453,20150203,청해식품,정상영업,경기도 양주시 칠봉산로210번길 112-14 (봉양동),지마켓 옥션 등,오픈마켓,오픈,건강/식품,-,인터넷
1454,20121204,주식회사 제이투씨컴퍼니,정상영업,경기도 양주시 은현면 용암로 237-46， B동,-,오픈마켓,-,기타,캠핑용품,인터넷
1455,20130322,니시코리아 주식회사,정상영업,경기도 양주시 어하고개로 216， C호 (율정동),-,nisikorea.com,-,종합몰,-,인터넷 카다로그 신문잡지
1456,20150129,BCN MARKET,정상영업,경기도 양주시 삼숭로38번길 78-30， 107동 1003호 (삼숭동， 양주자이아파트),네이버 등,오픈마켓,오픈,의류/패션/잡화/뷰티,-,인터넷
1457,20150129,아가,정상영업,경기도 양주시 고읍북로 15， 상가동 203호 (만송동， 은빛마을휴먼시아),오픈마켓,오픈마켓,오픈,기타,의료기기,인터넷
1458,20150129,박스트레이더,정상영업,경기도 양주시 백석읍 꿈나무로 298， 301동 904호 (세아청솔아파트),네이버 등,오픈마켓,오픈,기타,택배상자,인터넷
1459,20150129,티켓퉁,정상영업,경기도 양주시 장흥면 권율로29번길 42-133,-,오픈마켓,개인,상품권,-,인터넷
1460,20150129,아이가,정상영업,경기도 양주시 삼숭로38번길 91， 411동 102호 (삼숭동， 양주자이아파트),지마켓 등,오픈마켓,오픈,의류/패션/잡화/뷰티,-,인터넷
1461,20150128,커버뷰,정상영업,경기도 양주시 회암동 449번지 2호,쿠팡 등,오픈마켓,오픈,교육/도서/완구/오락,-,인터넷
1462,20150128,가구싸게파는곳,정상영업,경기도 양주시 은현면 운하로289번길 273,오픈마켓,오픈마켓,오픈,가구/수납용품,-,인터넷
1463,20150128,주식회사 온나라,정상영업,경기도 양주시 백석읍 중앙로 342,심플렉스인터넷(주),www.onnarafood.com,개인,건강/식품 기타,농수산물,인터넷
1464,20150128,지인공간,정상영업,경기도 양주시 만송로 394-76 (만송동),카페24,www.geeinn.com,개인,기타,카페트 생활용품 소품,인터넷
1465,20150127,다드림상사,폐업처리,경기도 양주시 고읍남로191번길 70-39， 상가동 1층 1호 (광사동),네이버 등,오픈마켓,오픈,기타,답례 및 기념품 홍보판촉용품,인터넷
1466,20150127,엔젤가먼트,타시군구이관,경기도 양주시 장흥면 권율로29번길 115-27,-,www.angelgarment.kr,개인,의류/패션/잡화/뷰티,-,인터넷
1467,20150126,태운교역(TWT),정상영업,경기도 양주시 고읍남로39번길 84， 306동 403호 (광사동， 해동마을한양수자인),11번가 등,오픈마켓,오픈,기타,안전마스크,인터넷
1468,20150126,농업회사법인 주식회사 현지라이스,정상영업,경기도 양주시 백석읍 권율로1398번길 182,-,오픈마켓,오픈,건강/식품,-,인터넷
1469,20150126,물나무카메라,정상영업,경기도 양주시 장흥면 일영로375번길 68-15,카페24,edumnm.com,개인,교육/도서/완구/오락 가구/수납용품,-,인터넷
1470,20150123,황금모두,정상영업,경기도 양주시 삼숭로38번길 78-12， 209동 202호 (삼숭동， 양주자이아파트),-,www.87modu.com,개인,종합몰,-,인터넷
1471,20150123,두루농원,폐업처리,경기도 양주시 남면 감악산로244번길 100-4,네이버,오픈마켓 블로그,오픈,기타,농산물,인터넷
1472,20150122,주식회사 노크,정상영업,경기도 양주시 백석읍 권율로 1455-15， 101동 305호 (백석한승아파트),카페24,www.visualknock.com,개인,레져/여행/공연,-,인터넷
1473,20150122,네임웍스,정상영업,경기도 양주시 고읍북로 700， 801동 302호 (만송동， 은빛마을휴먼시아),-,www.1004naver.com,개인,의류/패션/잡화/뷰티,-,인터넷
1474,20150122,바이크두휠,폐업처리,경기도 양주시 고덕로 89， 108동 1106호 (덕계동),옥션 지마켓 등,오픈마켓,오픈,자동차/자동차용품,오토바이용품,인터넷
1475,20150121,크린조이,정상영업,경기도 양주시 은현면 도하리 187-9,지마켓 등,오픈마켓,오픈,종합몰,-,인터넷
1476,20150120,어거스트,정상영업,경기도 양주시 덕정12길 15， B동 405호 (덕정동),-,오픈마켓,개인,의류/패션/잡화/뷰티,-,인터넷
1477,20150120,나눔,정상영업,경기도 양주시 고읍북로 120， 810동 806호 (만송동， 은빛마을 휴먼시아),네이버,오픈마켓,오픈,의류/패션/잡화/뷰티,-,인터넷
1478,20150119,소트윈스(sotwins),정상영업,경기도 양주시 고읍로 117-7， 206동 603호 (만송동， 은빛마을한양수자인),지마켓,오픈마켓,오픈,의류/패션/잡화/뷰티,-,인터넷
1479,20150116,주식회사 온라인박스,정상영업,경기도 양주시 광적면 그루고개로152번길 50-15 (1동~6동),옥션,오픈마켓,오픈,기타,골판지상자,인터넷
1480,20140925,PC아울렛,정상영업,경기도 양주시 백석읍 고릉말로 59,-,옥션,-,컴퓨터/사무용품,-,인터넷
1481,20150115,르퐁 인터네셔널(Le Pont International),정상영업,경기도 양주시 장흥면 유원지로 406-31,네이버,네이버,오픈,종합몰 의류/패션/잡화/뷰티 교육/도서/완구/오락,-,인터넷
1482,20150114,에덴,정상영업,경기도 양주시 화합로1361번길 30-1 (덕정동),-,www.e-d-e-n.co.kr,개인,의류/패션/잡화/뷰티,-,인터넷
1483,20150114,주식회사 토토맘,정상영업,경기도 양주시 은현면 화합로1002번길 8,-,patuah.com/m/totoman,오픈,가전 가구/수납용품,-,인터넷 카다로그 신문잡지 기타
1484,20150114,뉴미스,정상영업,경기도 양주시 삼숭로58번길 141， 706동 301호 (삼숭동， 양주자이아파트),오픈마켓,오픈마켓,오픈,기타,서비스 구매대행,인터넷
1485,20150114,마켓프리티,정상영업,경기도 양주시 광적면 지섬로198번길 16， 105동 507호 (벨라시티아파트),다음,오픈마켓,오픈,의류/패션/잡화/뷰티,-,인터넷
1486,20150113,(주)창운무역,정상영업,경기도 양주시 고읍남로39번길 131-19， 203호 (광사동),11번가,오픈마켓,오픈,의류/패션/잡화/뷰티,-,인터넷
1487,20150112,알라딘 여행,정상영업,경기도 양주시 고읍로 62， 상가동 202호 (고읍동， 산내들마을휴먼시아아파트),쿠팡 티몬 등,오픈마켓,오픈,기타,펜션 숙박,인터넷
1488,20150112,엘레벨,정상영업,경기도 양주시 백석읍 호명로154번길 92-29,오픈마켓,오픈마켓,오픈,의류/패션/잡화/뷰티,-,인터넷
1489,20150112,제이날다,폐업처리,경기도 양주시 부흥로 1898-4 (광사동， 대방아파트),-,오픈마켓,오픈,의류/패션/잡화/뷰티,-,인터넷
1490,20150112,얀삭스,정상영업,경기도 양주시 광적면 휴암로 273-3,고도몰,yarnsocks.com,개인,기타,양말,인터넷
1491,20150109,썬에이생명과학(주),정상영업,경기도 양주시 백석읍 양주산성로 511-67,네이버 등,오픈마켓,오픈,의류/패션/잡화/뷰티,-,인터넷
1492,20150107,다에뉴,타시군구이관,경기도 양주시 광적면 광적로228번길 44,11번가 등,오픈마켓,오픈,자동차/자동차용품,-,인터넷
1493,20150107,꺼먹동네,정상영업,경기도 양주시 백석읍 기산로 414-13,-,www.snname.com/ggeomuk,개인,건강/식품,-,인터넷
1494,20150107,하늘정원의 송당송당,정상영업,경기도 양주시 고읍북로 15， 504동 306호 (만송동， 은빛마을휴먼시아),오픈마켓,오픈마켓,오픈,의류/패션/잡화/뷰티,-,인터넷
1495,20150107,에스아이텍스,정상영업,경기도 양주시 삼숭로38번길 190， 502동 402호 (삼숭동， 양주자이아파트),-,http://mywondan.co.kr/,개인,의류/패션/잡화/뷰티,-,인터넷
1496,20150105,핑크레빗,폐업처리,경기도 양주시 고읍남로39번길 48， 106동 702호 (광사동， 해동마을신도브래뉴),11번가,11번가,오픈,의류/패션/잡화/뷰티,-,인터넷
1497,20150105,뚜뚜씨엘,정상영업,경기도 양주시 고읍남로191번길 70-34， 1층 (광사동),네이버,네이버,오픈,교육/도서/완구/오락 의류/패션/잡화/뷰티,-,인터넷
1498,20150102,이그니스,정상영업,경기도 양주시 은현면 은현로312번길 105,인터파크,인터파크,오픈,레져/여행/공연,-,인터넷
1499,20150102,힐러기타,정상영업,경기도 양주시 어하고개로 88-23 (삼숭동),-,www.healrmusic.kr,개인,기타,악기,인터넷
1500,20130130,맥클라인,타시군구이관,경기도 양주시 고암길 154-46 (고암동),주식회사 한국사이버결제,www.buythebag.co.kr,-,의류/패션/잡화/뷰티,가방  지갑  벨트,인터넷
1501,20141222,미래기획,폐업처리,경기도 양주시 독바위로 30-1 (덕정동),-,-,-,종합몰,-,인터넷
1502,20141224,K크린,정상영업,경기도 양주시 삼숭로38번길 55， 301동 1203호 (삼숭동),-,www.korea-clean.co.kr,개인,기타,-,기타
1503,20141223,어빈스,정상영업,경기도 양주시 고읍로35번길 8， 310동 202호 (고읍동， 산내들마을우미린),-,www.avins.co.kr,개인,의류/패션/잡화/뷰티,-,인터넷
1504,20141222,내사랑코코,타시군구이관,경기도 양주시 평화로 1409 (덕계동),심플렉스인터넷(주),www.mylovecoco.co.kr,개인,종합몰,-,인터넷
1505,20141222,해피베이비,정상영업,경기도 양주시 고암길 275， 305동 203호 (고암동， 동안마을),-,해피베이비,개인,의류/패션/잡화/뷰티,-,인터넷
1506,20141216,황금모두,폐업처리,경기도 양주시 고삼로 116 (만송동),-,www.87modu.com,개인,종합몰,-,인터넷
1507,20140519,LSI통상,정상영업,경기도 양주시 고암길 341， 514동 203호 (덕정동， 주공아파트),-,www.yokgu.com,개인,자동차/자동차용품,네비게이션,인터넷
1508,20141215,한나네김,폐업처리,경기도 양주시 백석읍 호명로 40,카페24,www.hannakim92.com,개인,건강/식품,-,인터넷
1509,20141212,(주)카운트다운,정상영업,경기도 양주시 장흥면 가마골로 55， 가동,-,www.countdown.co.kr,개인,의류/패션/잡화/뷰티,-,인터넷
1510,20051114,MK상사,정상영업,경기도 양주시 광적면 쇠장이길 828， 나동 1，2층,-,www.artclayworld.co.kr,개인,의류/패션/잡화/뷰티 기타,의류/패션/잡화/뷰티  기타,인터넷
1511,20141212,대대인터네셔널,정상영업,경기도 양주시 남면 감악산로199번길 71-27,옥션 지마켓,옥션 지마켓,오픈,기타,주방 생활용품,인터넷
1512,20141212,이지비아,정상영업,경기도 양주시 칠봉산로 61 (회암동),-,ijibia.tnaru.com,개인,종합몰,-,인터넷
1513,20141212,아이러브캡,정상영업,경기도 양주시 장흥면 가마골로 158， 3층,11번가,11번가,오픈,의류/패션/잡화/뷰티,-,인터넷
1514,20141211,잉크가이/전산OA/누리잉크북부사업,정상영업,경기도 양주시 고덕로 177， 지상1층지하1층 (덕계동， 현진빌딩),-,www.프린터렌탈.org,개인,컴퓨터/사무용품,-,기타
1515,20141210,배드민턴나라,정상영업,경기도 양주시 고덕로139번길 136-43 (덕계동),카페24,www.badmintonmall.kr,개인,종합몰,-,인터넷
1516,20141209,농업회사법인 주식회사 푸름,정상영업,경기도 양주시 삼숭로 160 (삼숭동),오픈마켓,오픈마켓,오픈,기타,과일류 농산물,인터넷
1517,20141209,사랑방 켄넬,정상영업,경기도 양주시 삼숭로129번길 19-33 (삼숭동),고도몰,www.highness-pet.com,개인,기타,애완동물,인터넷
1518,20141204,진주이야기(PEARL STORY),정상영업,경기도 양주시 평화로1416번길 14， 103동 713호 (덕계동， 신우아파트),네이버,네이버블로그,오픈,의류/패션/잡화/뷰티,-,인터넷
1519,20141016,메인필드 코리아,타시군구이관,경기도 양주시 평화로1257번길 104， 107호 (산북동),카페24,www.mainfieldkorea.com,-,종합몰,-,인터넷
1520,20141203,토토의 일상,타시군구이관,경기도 양주시 고읍로35번길 8， 304동 1104층 (고읍동， 산내들마을우미린아파트),오픈마켓,오픈마켓,오픈,건강/식품,-,인터넷
1521,20141203,(주)더블유지(WG),정상영업,경기도 양주시 광적면 광적로 167,옥션 지마켓,오픈마켓,오픈,의류/패션/잡화/뷰티 건강/식품 자동차/자동차용품,-,인터넷
1522,20141202,디 스포츠,정상영업,경기도 양주시 평화로 1517， 1층 (덕계동， 토리골프클럽),오픈마켓,11번가,오픈,기타,스포츠용품,인터넷
1523,20141201,지앤아토(주),정상영업,경기도 양주시 남면 운하로99번길 395,심플렉스인터넷,sk-broadworld.kr,모두사용,기타,인터넷가입,인터넷
1524,20141126,해마루 농원,폐업처리,경기도 양주시 장흥면 일영로703번길 4-27,-,carnivorousplantfarm.com,개인,기타,식물,인터넷
1525,20061124,대경,정상영업,경기도 양주시 칠봉산로 224 (봉양동),오픈마켓,지마켓,오픈,의류/패션/잡화/뷰티,-,인터넷
1526,20141125,보영섬유,정상영업,경기도 양주시 남면 감악산로83번길 133， 다동,지마켓 옥션,오픈마켓,개인,의류/패션/잡화/뷰티,-,인터넷
1527,20120516,엔 케이 KOREA,정상영업,경기도 양주시 백석읍 연곡로 73-7， A동,-,옥션   11번가   인터파크   지마켓,-,종합몰,생활용품,인터넷 카다로그
1528,20141124,에이비티 다이어트 캠프,정상영업,경기도 양주시 평화로1475번길 624 (덕계동),아이웹,www.abt-bietcamp.com,개인,기타,운동,인터넷
1529,20141124,온리캠핑,정상영업,경기도 양주시 백석읍 부흥로 1184,네이버,네이버,오픈,레져/여행/공연,-,인터넷
1530,20141124,크리스타벨레(CHRISTABELLE),정상영업,경기도 양주시 부흥로 2162， 109동 1204호 (삼숭동， 나래아파트),-,www.tokoindonesia.co.kr,개인,종합몰 의류/패션/잡화/뷰티 건강/식품,-,인터넷
1531,20141120,예담뚱유맘,정상영업,경기도 양주시 삼숭로38번길 190， 501동 1301호 (삼숭동),오픈마켓,오픈마켓,오픈,의류/패션/잡화/뷰티,-,인터넷 기타
1532,20141120,스토리 바이 선(STORY BY SUN),정상영업,경기도 양주시 고읍로 118-16， 902동 1003호 (광사동， 해동마을유승한내들),-,www.theso-u.co.kr,개인,의류/패션/잡화/뷰티,-,인터넷
1533,20141120,보리앙,정상영업,경기도 양주시 부흥로 1898-4， 106동 1301호 (광사동， 대방노블랜드),-,www.vaurien.co.kr,개인,의류/패션/잡화/뷰티,-,인터넷
1534,20141119,(주)맘스마인드,정상영업,경기도 양주시 만송로 393 (만송동),-,www.momm.co.kr,개인,종합몰 기타,생활용품 세정제 세제,인터넷
1535,20141119,미진종합유통,정상영업,경기도 양주시 광적면 가래비7길 8-9,-,카카오스토리,오픈,기타,식자재,인터넷
1536,20141118,태명사다리차,폐업처리,경기도 양주시 평화로1570번길 36， 105동 1601호 (회정동， 양주회정범양아파트),네이버,네이버,오픈,기타,사다리차,인터넷
1537,20141118,엘씨엘씽크대공장,정상영업,경기도 양주시 고덕로139번길 46-36 (덕계동),네이버,네이버,오픈,가구/수납용품,-,인터넷
1538,20141117,사샤(SASHA),폐업처리,경기도 양주시 고읍남로191번길 70-29， 403호 (광사동),카페24,www.sashamask.com,개인,의류/패션/잡화/뷰티,-,인터넷
1539,20141113,더조은디자인,정상영업,경기도 양주시 평화로1570번길 36， 105동 1502호 (회정동， 양주회정범양아파트),네이버,네이버,오픈,기타,광고물디자인,인터넷
1540,20141112,극진공방,정상영업,경기도 양주시 은현면 그루고개로490번길 49-27,프리커뮤니케이션,www.gjfishing.kr,개인,기타,낚시용품,인터넷
1541,20141112,아하샵,정상영업,경기도 양주시 청담로13번길 35 (고읍동),네이버,네이버,오픈,의류/패션/잡화/뷰티,-,인터넷
1542,20141112,더프레시(주),정상영업,경기도 양주시 장흥면 가마골로147번길 88-41,-,www.vofit.com,개인,컴퓨터/사무용품 교육/도서/완구/오락,-,인터넷
1543,20141112,비전21,정상영업,경기도 양주시 고암길 275， 304동 701호 (고암동， 동안마을),-,카달로그 기타,개인,기타,전기재료 LED등기구,카다로그 기타
1544,20141110,집이마켓,정상영업,경기도 양주시 어하고개로 52-10 (삼숭동),아이넷피아,www.gbmarket.co.kr,개인,기타,농수축산물,인터넷
1545,20131115,아웃도어랜드몰,정상영업,경기도 양주시 광적면 백은로 482,-,아웃도어랜드마크,-,레져/여행/공연 기타 건강/식품,기타(캠핑용품)  2016.02.22. 의료기기판매업신고,인터넷
1546,20141110,소품매니아,정상영업,경기도 양주시 삼숭로38번길 91， 407동 203호 (삼숭동， 양주자이아파트),네이버,,모두사용,종합몰,-,인터넷
1547,20141111,(주)티에스퍼니처(TS FURNITURE),정상영업,경기도 양주시 백석읍 중앙로254번길 47-8,-,www.tsfurniture.co.kr,모두사용,가구/수납용품,-,인터넷
1548,20141104,BBQ 펀앤정 양주장흥점,정상영업,경기도 양주시 장흥면 가마골로 40-8， 103호 (우남상가),카카오스토리,카카오스토리,오픈,건강/식품,-,인터넷
1549,20141104,은아네농장,정상영업,경기도 양주시 장흥면 일영로 589,네이버,네이버,오픈,기타,농산물,인터넷
1550,20141104,양주시농업인영농조합법인,정상영업,경기도 양주시 장흥면 일영로 589,네이버,네이버,오픈,기타,농산물,인터넷
1551,20141104,리빙트레이딩,정상영업,경기도 양주시 평화로1475번길 161-14， 105동 702호 (덕계동， 덕계신도브래뉴아파트),11번가,11번가,오픈,종합몰,-,인터넷
1552,20141103,원단천사,정상영업,경기도 양주시 고암길 219， 704동 601호 (고암동),네이버,네이버,오픈,의류/패션/잡화/뷰티,원단,인터넷
1553,20141106,동보유리케미칼,정상영업,경기도 양주시 부흥로 2260 (삼숭동),11번가,11번가,오픈,자동차/자동차용품,-,인터넷
1554,20141029,(주)두리산업,정상영업,경기도 양주시 광적면 그루고개로188번길 49,옥션 지마켓,www.야외용돗자리.net 옥션 지마켓 등,모두사용,기타,생활용품,인터넷
1555,20141028,PALMS,타시군구이관,경기도 양주시 장흥면 가마골로167번길 91-8,네이버,네이버,오픈,종합몰,-,인터넷
1556,20141027,도로시,정상영업,경기도 양주시 엄상동길 36-22 (고암동),-,11번가,오픈,의류/패션/잡화/뷰티,-,인터넷
1557,20141027,태양산업,정상영업,경기도 양주시 은현면 화합로 789-53,-,www.t-pack.co.kr,개인,기타,일회용플라스틱용기 등,인터넷
1558,20140129,피아이디,정상영업,경기도 양주시 삼숭로58번길 141， 708동 1204호 (삼숭동， 양주자이7단지아파트),-,pidmail.com,-,컴퓨터/사무용품 가전 기타,휴대폰 완제품 판매처,인터넷
1559,20060721,캔들123,타시군구이관,경기도 양주시 고읍북로 28-8， 605동 602호 (만송동， 은빛마을유승한내들),카페24,www.candle123.co.kr,개인,기타,인물사진 및 행사용 비디오 촬영,인터넷
1560,20141024,다솜포장,정상영업,경기도 양주시 율정로247번길 79-27 (율정동),-,www.dasompack.co.kr,개인,기타,포장 부자재,인터넷
1561,20141023,꽃보라닷컴,정상영업,경기도 양주시 고읍로 117-7， 209동 1102호 (만송동， 은빛마을한양수자인),-,인터파크 쿠팡,오픈,의류/패션/잡화/뷰티,-,인터넷
1562,20141022,슈퍼게이너,정상영업,경기도 양주시 고암길 208， 202호 (고암동， 골드프라자),-,www.supergainer.kr,개인,건강/식품,-,인터넷
1563,20141022,드림월드(Dream World),정상영업,경기도 양주시 삼숭로 132 (삼숭동),-,지마켓,오픈,컴퓨터/사무용품,-,인터넷
1564,20141022,개명연수원,정상영업,경기도 양주시 장흥면 권율로309번길 317-33,트리포드,www.개명펜션연수원.com,개인,레져/여행/공연,펜션,인터넷
1565,20100625,레저포유,정상영업,경기도 양주시 은현면 강변서로 167-18,카폐24,www.leisure4u.kr,-,의류/패션/잡화/뷰티 레져/여행/공연,-,인터넷
1566,20140918,하늘정보통신,정상영업,경기도 양주시 고읍로 11-7， 110동 1504호 (고읍동， 산내들마을한양수자인),-,www.showkorea.co.kr,-,기타,이동통신,인터넷
1567,20141020,노리몰,정상영업,경기도 양주시 고읍로 36-10， 102동 704호 (고읍동),-,www.norimall.kr,개인,기타,미술 노인용품,인터넷
1568,20141020,토탈디에이치,정상영업,경기도 양주시 고읍북로 120， 804동 902호 (만송동),-,www.carefactory.co.kr,개인,의류/패션/잡화/뷰티,-,인터넷
1569,20141020,라이크에스,정상영업,경기도 양주시 평화로1475번길 161-14， 103동 305호 (덕계동),카카오스토리,카카오스토리,개인,의류/패션/잡화/뷰티,-,인터넷
1570,20141017,엄마네 텃밭,정상영업,경기도 양주시 남면 감악산로244번길 100-4,-,엄마네텃밭.com,개인,건강/식품,-,인터넷
1571,20141016,라쁘띠컬렉션,정상영업,경기도 양주시 고읍남로191번길 70-34， 102호 (광사동),네이버,네이버블로그,오픈,의류/패션/잡화/뷰티,-,인터넷
1572,20141016,MERIMERI(메리메리),정상영업,경기도 양주시 고읍로 118-16， 908동 702호 (고읍동),네이버,네이버,오픈,기타,핸드메이드용품,인터넷
1573,20141015,난쟁이똥자루,정상영업,경기도 양주시 삼숭로38번길 80， 2130호 (삼숭동， 양주프라자1상가),-,www.hi-dora.com,개인,의류/패션/잡화/뷰티,-,인터넷
1574,20141016,에어컨엔,정상영업,경기도 양주시 고암길 48， 302호 (고암동),-,www.aircome.co.kr,개인,종합몰,-,인터넷
1575,20141016,SM상사,타시군구이관,경기도 양주시 광적면 광적로 318,닷홈,www.smfilm.co.kr,개인,기타,아크릴,인터넷
1576,20141013,레인보우,정상영업,경기도 양주시 장흥면 일영리 23번지 1호,엘지데이콤,www.psrainbow.com,개인,기타,숙박,인터넷
1577,20141013,(주)노나,정상영업,경기도 양주시 평화로1667번길 19-13 (회정동),심플렉스인터넷,www.nona.co.kr,개인,기타,침구류,인터넷
1578,20141013,숲속 분재원,정상영업,경기도 양주시 장흥면 일영로 483,심폴,심폴,오픈,기타,분재,인터넷
1579,20090212,까르뜨,정상영업,경기도 양주시 은현면 그루고개로426번길 126-5 (까르뜨),카페24,www.cartes.co.kr,-,기타,인쇄물,인터넷
1580,20141010,제이엔지 코리아(JNG KOREA),정상영업,경기도 양주시 광적면 광석리 459-1,11번가,11번가,오픈,의류/패션/잡화/뷰티,-,인터넷
1581,20141010,헤어클릭,정상영업,경기도 양주시 백석읍 부흥로 1166-3， 101동 503호,옥션,옥션,오픈,의류/패션/잡화/뷰티,-,인터넷
1582,20110929,(주)선광,정상영업,경기도 양주시 장흥면 일영로375번길 60， 201호,-,skshop.kr,개인,종합몰,-,TV홈쇼핑
1583,20141008,시계쟁이,정상영업,경기도 양주시 삼숭로38번길 78-30， 114동 301호 (삼숭동),오픈마켓,오픈마켓,오픈,의류/패션/잡화/뷰티,-,인터넷
1584,20141008,참살이농장,정상영업,경기도 양주시 장흥면 삼상리 211번지 1호,-,일영참살이농장.kr,개인,건강/식품,-,인터넷
1585,20141008,주랑,정상영업,경기도 양주시 화합로 1630， 103동 1006호 (옥정동),카페24,www.ju-rang.kr,개인,의류/패션/잡화/뷰티,-,인터넷
1586,20141007,솔키즈,정상영업,경기도 양주시 부흥로 2152-11， 106동 803호 (삼숭동),-,www.soikids.co.kr,개인,의류/패션/잡화/뷰티,-,인터넷
1587,20141007,땡구리네,정상영업,경기도 양주시 은현면 은현로312번길 105-41,옥션 지마켓,옥션 지마켓,오픈,자동차/자동차용품,-,인터넷
1588,20141002,디케이 (DK),타시군구이관,경기도 양주시 삼숭로38번길 80 (삼숭동),카페24,www.dkari.com,개인,종합몰 가구/수납용품,-,인터넷 카다로그
1589,20141006,떡 맛스러움,정상영업,경기도 양주시 고읍남로 23， 154호 (광사동),네이버,www.good-ricecake.co.kr,개인,건강/식품,-,인터넷
1590,20141006,화이트 크리닝,정상영업,경기도 양주시 부흥로 2162， 107동 204호 (삼숭동),심플렉스인터넷(주),www.white-cleaning.com,개인,기타,세탁기청소,인터넷
1591,20141006,세라델라,정상영업,경기도 양주시 평화로1429번길 89-32， 9동 201호 (덕계동),카페24,www.seradella.com,개인,의류/패션/잡화/뷰티,-,인터넷
1592,20141001,싱싱야채&도경상회,정상영업,경기도 양주시 장흥면 부곡리 163번지 5호,호스팅케이알,www.국민청과.com,개인,-,채소 과일,인터넷
1593,20140930,현지라이스,정상영업,경기도 양주시 백석읍 권율로1398번길 182,11번가,11번가,오픈,건강/식품,-,인터넷
1594,20140930,당신을위한조명,폐업처리,경기도 양주시 고읍로 117-21 (만송동),옥션,옥션,오픈,기타,조명 전구,인터넷
1595,20140929,보스카,정상영업,경기도 양주시 삼숭로38번길 8 (삼숭동),네이버 다음,네이버 다음,오픈,가구/수납용품 자동차/자동차용품 가전 레져/여행/공연,-,인터넷
1596,20130102,엘플러스(주),정상영업,경기도 양주시 광적면 광적로224번길 10,옥션.지마켓,오픈마켓,-,가전 컴퓨터/사무용품,-,인터넷 TV홈쇼핑
1597,20100120,필코리아,정상영업,경기도 양주시 어하고개로132번길 122-12 (삼숭동),-,옥션,-,교육/도서/완구/오락 의류/패션/잡화/뷰티,-,인터넷
1598,20140926,제이와이스포팅,정상영업,경기도 양주시 은현면 운하로99번길 228,다음,다음,개인,자동차/자동차용품,-,인터넷
1599,20140926,비상,정상영업,경기도 양주시 고읍로 117-21， 603동 507호 (만송동),-,www.wemakeprice.com,개인,건강/식품,-,인터넷 카다로그
1600,20140926,삼남매농장,정상영업,경기도 양주시 고읍로 117-21， 602동 504호 (만송동),11번가,11번가,오픈,건강/식품,천년초에센스,인터넷
1601,20140925,다미다미,정상영업,경기도 양주시 광적면 부흥로930번길 53， 나동 303호,-,-,-,교육/도서/완구/오락,-,인터넷
1602,20140925,해피하우스,폐업처리,경기도 양주시 삼숭로58번길 115， 604동 703호 (삼숭동),옥션,옥션,오픈,종합몰,-,인터넷
1603,20140925,림볼,정상영업,경기도 양주시 삼숭로38번길 78-30， 113동 1301호 (삼숭동),카페24,www.limbowl.com,모두사용,종합몰,-,인터넷
1604,20140923,J-Life,정상영업,경기도 양주시 은현면 은현로 29,까페24,www.j-life.co.kr,개인,가전,-,인터넷
1605,20140923,(주)지비테크놀리지,정상영업,경기도 양주시 은현면 화합로 1013-8,11번가,11번가,오픈,의류/패션/잡화/뷰티,-,인터넷
1606,20140923,리에또(Lieto),정상영업,경기도 양주시 부흥로 2152-11， 110동 1304호 (삼숭동， 성우아파트 아침의미소),-,옥션,오픈,의류/패션/잡화/뷰티,-,인터넷
1607,20140922,(주)신덕아이앤씨,정상영업,경기도 양주시 광적면 그루고개로 92-18， 3호,-,지마켓,오픈,종합몰 의류/패션/잡화/뷰티,-,인터넷
1608,20140919,(주)블랙진,정상영업,경기도 양주시 광적면 부흥로618번길 230,지마켓,지마켓,오픈,의류/패션/잡화/뷰티,-,인터넷
1609,20140919,부광농원,정상영업,경기도 양주시 백석읍 양주산성로 606,네이버,www.naver.com,개인,기타,농산물,인터넷
1610,20140919,반디농장,폐업처리,경기도 양주시 부흥로1398번길 82-19 (유양동),네이버,www.naver.com,개인,기타,농산물,인터넷
1611,20140916,쇼핑백,정상영업,경기도 양주시 고암길 305-40， 412동 202호 (덕정동),-,http://shopping-bag.co.kr,개인,의류/패션/잡화/뷰티,-,인터넷
